year,parent_region,deforestation_hectares
2001,CATAMARCA,7421.96074182996
2001,SALTA,170.63978361338377
2001,TUCUMAN,559.2785180615152
2001,CHACO,483.1708059918647
2001,CHACO,861.226694649049
2001,SAN LUIS,541.2431259524004
2001,SANTIAGO DEL ESTERO,566.020568690522
2001,CHACO,834.2848808276303
2001,FORMOSA,62.557041048390026
2001,CHACO,210.90880322266443
2001,SALTA,1046.6352132491622
2001,CORDOBA,681.1395631260148
2001,SANTIAGO DEL ESTERO,1531.7023354852315
2001,SANTIAGO DEL ESTERO,17073.52934422303
2001,CHACO,580.2524162067795
2001,SANTIAGO DEL ESTERO,3236.9723196777054
2001,SALTA,2047.0691314909093
2001,JUJUY,32.02911008014983
2001,FORMOSA,6137.826757395003
2001,SANTIAGO DEL ESTERO,914.5311509669413
2001,FORMOSA,737.7651869697606
2001,FORMOSA,695.6248050945646
2001,FORMOSA,2053.42162755123
2001,CORDOBA,83.66240384739403
2001,CHACO,102.28343845789924
2001,CORDOBA,93.72969821095468
2001,SANTIAGO DEL ESTERO,2818.808035032714
2001,CHACO,140.1715444739835
2001,FORMOSA,1276.8506468206058
2001,SANTIAGO DEL ESTERO,2509.093273597985
2001,CORDOBA,8212.340341765594
2001,SALTA,1518.8326572070227
2001,SANTIAGO DEL ESTERO,840.1280783049325
2001,SANTIAGO DEL ESTERO,1267.0951196210642
2001,SALTA,472.7879203401069
2001,LA RIOJA,300.87094353875693
2001,SANTIAGO DEL ESTERO,716.0878286981407
2001,CORDOBA,584.5067227646708
2001,CORRIENTES,118.5616410628838
2001,CHACO,1504.1264829929262
2001,CORDOBA,2384.264955929506
2001,SANTA FE,238.94978909889855
2001,CHACO,223.7292639993277
2001,SANTIAGO DEL ESTERO,653.7644618257881
2001,JUJUY,396.2183397086228
2001,CATAMARCA,1439.0840380733505
2001,CHACO,95.443012483418
2001,SANTIAGO DEL ESTERO,361.6900314339528
2001,SANTIAGO DEL ESTERO,761.711615245541
2001,TUCUMAN,277.1337155838808
2001,CORDOBA,2208.675144116318
2001,CHACO,871.8957101238124
2001,TUCUMAN,1005.590844702487
2001,CORDOBA,6135.259404050634
2001,CATAMARCA,109.14003653342232
2001,SANTA FE,4401.948263872429
2002,CHACO,8773.568263458274
2002,CHACO,48.674350529909134
2002,CHACO,139.22731280189518
2002,CHACO,1432.1776641356305
2002,CHACO,4864.9412463659455
2002,SANTA FE,7751.489490268161
2002,SANTIAGO DEL ESTERO,7272.950214594019
2002,SANTIAGO DEL ESTERO,23954.26312544331
2002,CHACO,23412.524022257763
2002,CATAMARCA,0.317284882068634
2002,CATAMARCA,30.092577911767307
2002,SALTA,25449.90197153857
2002,SANTIAGO DEL ESTERO,434.497769158056
2002,SANTIAGO DEL ESTERO,1692.380521064733
2002,SAN LUIS,2019.445042408272
2002,SANTIAGO DEL ESTERO,2110.411621377135
2002,SAN LUIS,1849.868999546474
2002,SANTIAGO DEL ESTERO,6892.887622713605
2002,CHACO,255.20695958266072
2002,FORMOSA,1647.1720233840686
2002,CORDOBA,119.84147460013628
2002,CATAMARCA,314.10942263918764
2002,CATAMARCA,15.690079115331171
2002,CORRIENTES,102.0804270491296
2002,LA RIOJA,570.7575625404716
2002,SANTIAGO DEL ESTERO,3491.866111016536
2002,SALTA,20.13634298741817
2002,CHACO,3521.273263143617
2002,SAN LUIS,544.3128207157932
2002,LA RIOJA,203.89967916160825
2002,SANTIAGO DEL ESTERO,6759.869480338459
2002,CHACO,458.9800638397826
2002,SANTIAGO DEL ESTERO,3751.066444280948
2002,TUCUMAN,406.7282918109613
2002,CORDOBA,1558.9988703900983
2002,CATAMARCA,838.350018462568
2002,SANTIAGO DEL ESTERO,1568.1951870249472
2002,FORMOSA,193.75858756899837
2002,CHACO,1213.3116262387116
2002,CATAMARCA,1.4986783266067505
2002,LA RIOJA,34.01479341834784
2002,CHACO,2194.682139075153
2002,LA RIOJA,230.68881656229496
2002,CHACO,91.09392807387256
2002,CHACO,2365.4850245809143
2002,SALTA,413.2218935686876
2002,SALTA,8482.746281166872
2002,LA RIOJA,25.085717014559343
2002,SANTA FE,3015.581350425557
2002,LA RIOJA,464.1182341038305
2002,LA RIOJA,740.7406833716467
2002,SANTIAGO DEL ESTERO,14783.717642757763
2002,TUCUMAN,737.1483505843024
2002,SANTIAGO DEL ESTERO,5086.382932571424
2002,CHACO,4811.985662040553
2002,CORDOBA,7542.256049045249
2002,SANTIAGO DEL ESTERO,8334.090764673289
2002,TUCUMAN,2.145160086452961
2002,SANTIAGO DEL ESTERO,15913.100138974947
2002,SAN LUIS,554.2369689724901
2002,SALTA,561.5296081629454
2002,TUCUMAN,200.2351664163026
2002,FORMOSA,336.5728439147274
2002,CATAMARCA,10633.748063220844
2002,SALTA,18.29708745330572
2002,TUCUMAN,2468.217865787242
2002,CHACO,433.5403656345664
2002,CHACO,718.5648012586084
2002,SAN LUIS,612.3671678501894
2002,SANTIAGO DEL ESTERO,649.2145355956812
2002,CHACO,1395.8335467881138
2002,FORMOSA,84.11506324848709
2002,CHACO,2697.8933949221
2002,SALTA,2796.11738456438
2002,CORDOBA,442.991920296877
2002,SANTIAGO DEL ESTERO,1732.2062516027806
2002,SANTIAGO DEL ESTERO,48177.71057812945
2002,CHACO,902.8825331449216
2002,SANTIAGO DEL ESTERO,4971.997254024855
2002,SALTA,2980.0099238379044
2002,JUJUY,14.217696512096069
2002,FORMOSA,3082.487872265484
2002,SANTIAGO DEL ESTERO,3408.156892283728
2002,FORMOSA,252.0795532326488
2002,FORMOSA,446.4349384371849
2002,FORMOSA,955.3409567431491
2002,CORDOBA,281.6013457849622
2002,CHACO,159.5870379133844
2002,CORDOBA,103.98876208890889
2002,SANTIAGO DEL ESTERO,4171.36707890472
2002,CHACO,45.0082487213261
2002,FORMOSA,696.2128621738915
2002,SANTIAGO DEL ESTERO,2886.8011174231765
2002,CORDOBA,8307.578926770886
2002,SALTA,1396.164847559818
2002,SANTIAGO DEL ESTERO,464.5539336753535
2002,SANTIAGO DEL ESTERO,2417.615720820193
2002,SALTA,1009.362651644618
