year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2001","ARGENTINA","AR","PALPALA","AR-38042","JUJUY","AR-38","32.02911008014983"
"2001","ARGENTINA","AR","PATINO","AR-34035","FORMOSA","AR-34","6137.826757395003"
"2001","ARGENTINA","AR","PELLEGRINI","AR-86133","SANTIAGO DEL ESTERO","AR-86","914.5311509669411"
"2001","ARGENTINA","AR","PILAGAS","AR-34042","FORMOSA","AR-34","737.7651869697606"
"2001","ARGENTINA","AR","PILCOMAYO","AR-34049","FORMOSA","AR-34","695.6248050945646"
"2001","ARGENTINA","AR","PIRANE","AR-34056","FORMOSA","AR-34","2053.42162755123"
"2001","ARGENTINA","AR","POCHO","AR-14077","CORDOBA","AR-14","83.66240384739403"
"2001","ARGENTINA","AR","PRESIDENCIA DE LA PLAZA","AR-22119","CHACO","AR-22","102.28343845789924"
"2001","ARGENTINA","AR","PUNILLA","AR-14091","CORDOBA","AR-14","93.72969821095467"
"2001","ARGENTINA","AR","QUEBRACHOS","AR-86140","SANTIAGO DEL ESTERO","AR-86","2818.808035032714"
"2001","ARGENTINA","AR","QUITILIPI","AR-22133","CHACO","AR-22","140.1715444739835"
"2001","ARGENTINA","AR","RAMON LISTA","AR-34063","FORMOSA","AR-34","1276.8506468206058"
"2001","ARGENTINA","AR","RIO HONDO","AR-86147","SANTIAGO DEL ESTERO","AR-86","2509.093273597985"
"2001","ARGENTINA","AR","RIO SECO","AR-14112","CORDOBA","AR-14","8212.340341765594"
"2001","ARGENTINA","AR","RIVADAVIA","AR-66133","SALTA","AR-66","1518.8326572070227"
"2001","ARGENTINA","AR","RIVADAVIA","AR-86154","SANTIAGO DEL ESTERO","AR-86","840.1280783049325"
"2001","ARGENTINA","AR","ROBLES","AR-86161","SANTIAGO DEL ESTERO","AR-86","1267.0951196210642"
"2001","ARGENTINA","AR","ROSARIO DE LA FRONTERA","AR-66140","SALTA","AR-66","472.78792034010684"
"2001","ARGENTINA","AR","ROSARIO VERA PENALOZA","AR-46112","LA RIOJA","AR-46","300.87094353875693"
"2001","ARGENTINA","AR","SALAVINA","AR-86168","SANTIAGO DEL ESTERO","AR-86","716.0878286981407"
"2001","ARGENTINA","AR","SAN ALBERTO","AR-14126","CORDOBA","AR-14","584.5067227646708"
"2001","ARGENTINA","AR","SAN COSME","AR-18133","CORRIENTES","AR-18","118.5616410628838"
"2001","ARGENTINA","AR","SAN FERNANDO","AR-22140","CHACO","AR-22","1504.1264829929262"
"2001","ARGENTINA","AR","SAN JAVIER","AR-14133","CORDOBA","AR-14","2384.264955929506"
"2001","ARGENTINA","AR","SAN JUSTO","AR-82112","SANTA FE","AR-82","238.94978909889858"
"2001","ARGENTINA","AR","SAN LORENZO","AR-22147","CHACO","AR-22","223.7292639993277"
"2001","ARGENTINA","AR","SAN MARTIN","AR-86175","SANTIAGO DEL ESTERO","AR-86","653.7644618257881"
"2001","ARGENTINA","AR","SAN PEDRO","AR-38063","JUJUY","AR-38","396.2183397086228"
"2001","ARGENTINA","AR","SANTA ROSA","AR-10098","CATAMARCA","AR-10","1439.0840380733503"
"2001","ARGENTINA","AR","SARGENTO CABRAL","AR-22154","CHACO","AR-22","95.44301248341799"
"2001","ARGENTINA","AR","SARMIENTO","AR-86182","SANTIAGO DEL ESTERO","AR-86","361.6900314339528"
"2001","ARGENTINA","AR","SILIPICA","AR-86189","SANTIAGO DEL ESTERO","AR-86","761.711615245541"
"2001","ARGENTINA","AR","SIMOCA","AR-90091","TUCUMAN","AR-90","277.13371558388076"
"2001","ARGENTINA","AR","SOBREMONTE","AR-14154","CORDOBA","AR-14","2208.675144116318"
"2001","ARGENTINA","AR","TAPENAGA","AR-22161","CHACO","AR-22","871.8957101238124"
"2001","ARGENTINA","AR","TRANCAS","AR-90112","TUCUMAN","AR-90","1005.590844702487"
"2001","ARGENTINA","AR","TULUMBA","AR-14175","CORDOBA","AR-14","6135.259404050634"
"2001","ARGENTINA","AR","VALLE VIEJO","AR-10112","CATAMARCA","AR-10","109.14003653342233"
"2001","ARGENTINA","AR","VERA","AR-82133","SANTA FE","AR-82","4401.948263872429"
