Id,period,POINT_X,POINT_Y,Region,WoodCover,WLrate,WoodLoss,ConsFund,ConsFund_cumm,ConsFund_r,pct_PA,PA_change,WoodChange,WoodCover_270,WoodLoss_270,pct_PA_270,PA_change_270,WoodCover_540,WoodLoss_540,pct_PA_540,PA_change_540,ConsFund_diff
104,5,-578074.4047,48698.69495,Chaco,0.56859371,0.009529172,0.022091258,0.931414073,0.932022285,0.095838569,0,0,-0.022091258,0.456610874,0.015146866,0.00455859,0,0.455726052,0.025186393,0.011392715,0,0.926247679
104,6,-578074.4047,48698.69495,Chaco,0.557480917,0.004934466,0.011112793,0.704785264,1.101007966,0.016162098,0,0,-0.011112793,0.446555629,0.010055245,0.00455859,0,0.447033001,0.008693051,0.011392715,0,-0.226628809
104,7,-578074.4047,48698.69495,Chaco,0.549064286,0.003803186,0.008416631,NA,NA,NA,0,0,-0.008416631,0.443274179,0.00328145,0.00455859,0,0.442854953,0.004178048,0.011392715,0,NA
107,0,-488074.4047,48698.69495,Chaco,0.352899787,NA,NA,NA,NA,NA,0,NA,NA,0.506886141,NA,0,NA,0.520703644,NA,0.009320629,NA,NA
107,1,-488074.4047,48698.69495,Chaco,0.350782196,0.000752327,0.001058795,0,0,0,0.022792951,0.011396475,-0.001058795,0.503556908,0.001664616,0.00455859,0.002279295,0.514383059,0.003160293,0.011392715,0.001036043,NA
107,2,-488074.4047,48698.69495,Chaco,0.343296269,0.005392919,0.007485928,0.303436063,0.303436063,0.040796145,0.022792951,0,-0.007485928,0.49956371,0.003993198,0.00455859,0,0.509271952,0.005111107,0.011392715,0,0.303436063
107,3,-488074.4047,48698.69495,Chaco,0.341949147,0.000982949,0.001347122,0,0.303436063,0,0.022792951,0,-0.001347122,0.492459467,0.007104243,0.00455859,0,0.499964131,0.009307821,0.011392715,0,-0.303436063
107,4,-488074.4047,48698.69495,Chaco,0.340998294,0.00069614,0.000950853,0.005166393,0.30601267,0.000320818,0.022792951,0,-0.000950853,0.47175774,0.020701727,0.00455859,0,0.480912444,0.019051686,0.011392715,0,0.005166393
107,5,-488074.4047,48698.69495,Chaco,0.337525906,0.002558802,0.003472388,0.931890114,0.980983729,0.095945386,0.022792951,0,-0.003472388,0.456610874,0.015146866,0.00455859,0,0.455726052,0.025186393,0.011392715,0,0.926723721
107,6,-488074.4047,48698.69495,Chaco,0.329315565,0.006156453,0.008210341,0.704967046,1.134849536,0.016170373,0.022792951,0,-0.008210341,0.446555629,0.010055245,0.00455859,0,0.447033001,0.008693051,0.011392715,0,-0.226923068
107,7,-488074.4047,48698.69495,Chaco,0.329101599,0.000162485,0.000213966,NA,NA,NA,0.022792951,0,-0.000213966,0.443274179,0.00328145,0.00455859,0,0.442854953,0.004178048,0.011392715,0,NA
110,0,-398074.4047,48698.69495,Chaco,0.174285288,NA,NA,NA,NA,NA,0,NA,NA,0.174285288,NA,0,NA,0.332797548,NA,0.001621293,NA,NA
110,1,-398074.4047,48698.69495,Chaco,0.162226439,0.008962551,0.006029424,0,0,0,0,0,-0.006029424,0.162226439,0.006029424,0,0,0.313203912,0.009796818,0.001621293,0,NA
110,2,-398074.4047,48698.69495,Chaco,0.154873881,0.011595505,0.007352559,0.677201264,0.677201264,0.13539358,0,0,-0.007352559,0.154873881,0.007352559,0,0,0.298829154,0.014374758,0.111872512,0.110251219,0.677201264
